"","school_district","household_income","household_income_all_households","household_income_all_households_with_earnings","household_income_all_households_with_earnings_with_wages_or_salary_income","household_income_all_households_with_earnings_with_self_employment_income","household_income_all_households_with_interest_dividends_or_net_rental_income","ssi_percent","household_income_all_households_with_supplemental_security_income_ssi","household_income_all_households_with_cash_public_assistance_income_or_food_stamps_snap","household_income_all_households_with_cash_public_assistance_income_or_food_stamps_snap_with_cash_public_assistance","household_income_all_households_with_retirement_income","household_income_all_households_with_other_types_of_income","family_income_by_number_of_workers_in_family","family_income_by_number_of_workers_in_family_all_families","family_income_by_number_of_workers_in_family_all_families_no_workers","family_income_by_number_of_workers_in_family_all_families_1_worker","family_income_by_number_of_workers_in_family_all_families_2_workers_both_spouses_worked","family_income_by_number_of_workers_in_family_all_families_2_workers_other","family_income_by_number_of_workers_in_family_all_families_3_or_more_workers_both_spouses_worked","family_income_by_number_of_workers_in_family_all_families_3_or_more_workers_other","per_capita_income_by_race_and_hispanic_or_latino_origin","per_capita_income_by_race_and_hispanic_or_latino_origin_total_population","per_capita_income_by_race_and_hispanic_or_latino_origin_total_population_one_race","per_capita_income_by_race_and_hispanic_or_latino_origin_total_population_one_race_white","per_capita_income_by_race_and_hispanic_or_latino_origin_total_population_one_race_black_or_african_american","per_capita_income_by_race_and_hispanic_or_latino_origin_total_population_one_race_american_indian_and_alaska_native","per_capita_income_by_race_and_hispanic_or_latino_origin_total_population_one_race_asian","per_capita_income_by_race_and_hispanic_or_latino_origin_total_population_one_race_native_hawaiian_and_other_pacific_islander","per_capita_income_by_race_and_hispanic_or_latino_origin_total_population_one_race_some_other_race","per_capita_income_by_race_and_hispanic_or_latino_origin_total_population_two_or_more_races","per_capita_income_by_race_and_hispanic_or_latino_origin_total_population_hispanic_or_latino_origin_of_any_race","per_capita_income_by_race_and_hispanic_or_latino_origin_total_population_white_alone_not_hispanic_or_latino","state"
"557","Sumter County Consolidated School",NA,"43,191","70.0%","67.6%","5.2%","7.3%",32,"9.1%","19.9%","2.9%","24.3%","13.6%",NA,"27,151","17.7%","34.9%","31.0%","8.1%","6.6%","1.7%",NA,"104,758",NA,"44.9%","44.8%","0.2%","0.8%","0.3%","2.6%","6.5%","4.5%","44.3%",NA
"558","Orangeburg County School",NA,"32,017","61.0%","57.4%","8.3%","9.6%",41.8,"7.7%","19.7%","3.4%","23.2%","12.0%",NA,"18,846","26.3%","40.1%","20.9%","8.8%","1.6%","2.3%",NA,"82,962",NA,"N","N","N","N","N","N","N","N","N",NA
"559","Rapid City School District",NA,"42,097","78.3%","75.9%","10.9%","26.7%",36.4,"5.3%","10.8%","3.2%","22.7%","15.5%",NA,"24,665","N","N","N","N","N","N",NA,"101,337",NA,"76.2%","1.2%","9.2%","1.1%","0.0%","1.5%","10.8%","5.8%","75.2%",NA
"560","Sioux Falls School District",NA,"69,104","83.2%","81.9%","8.2%","19.0%",23.8,"2.4%","9.7%","1.6%","16.8%","10.8%",NA,"40,215","10.8%","28.4%","39.2%","10.9%","7.7%","3.1%",NA,"159,826",NA,"77.7%","8.0%","2.7%","1.9%","0.1%","2.4%","7.2%","6.1%","76.9%",NA
"561","Shelby County",NA,"297,161","77.8%","75.1%","7.8%","10.1%",26.8,"7.2%","19.7%","1.9%","18.0%","9.6%",NA,"168,542","13.6%","41.5%","22.6%","12.6%","5.2%","4.4%",NA,"728,230",NA,"24.5%","63.4%","0.3%","1.7%","0.2%","4.9%","5.0%","8.1%","23.7%","TN"
"562","Blount County",NA,"40,293","73.4%","70.6%","12.4%","16.0%",39.3,"2.8%","6.0%","1.2%","28.8%","12.2%",NA,"26,842","22.4%","34.2%","25.3%","9.7%","7.1%","1.2%",NA,"97,699",NA,"89.9%","0.9%","0.0%","0.2%","0.1%","1.4%","7.5%","N","N","TN"
"563","Hamilton County",NA,"151,676","76.4%","73.3%","11.5%","18.4%",32,"3.9%","11.2%","1.7%","22.9%","10.6%",NA,"95,619","16.7%","31.9%","32.1%","8.3%","8.0%","3.1%",NA,"369,135",NA,"70.3%","18.5%","0.2%","1.8%","0.0%","2.6%","6.6%","6.4%","69.0%","TN"
"564","Johnson City",NA,"27,994","76.2%","72.8%","9.1%","20.2%",29.1,"5.5%","14.9%","1.5%","26.2%","10.1%",NA,"14,853","N","N","N","N","N","N",NA,"65,815",NA,"85.6%","5.3%","0.4%","1.1%","0.0%","1.3%","6.4%","4.0%","85.1%","TN"
"565","Knox County",NA,"198,914","76.4%","73.7%","10.8%","19.4%",30.4,"4.5%","10.3%","2.3%","21.8%","10.7%",NA,"117,131","14.9%","31.9%","35.9%","8.3%","7.0%","2.1%",NA,"486,677",NA,"81.0%","6.8%","0.2%","2.0%","0.1%","1.6%","8.2%","4.9%","80.4%","TN"
"566","Maury County",NA,"41,309","78.4%","75.5%","13.0%","13.7%",30.9,"5.3%","9.8%","2.4%","24.2%","8.6%",NA,"30,009","13.1%","29.5%","38.6%","12.6%","5.3%","0.8%",NA,"104,760",NA,"80.8%","10.3%","0.4%","0.6%","0.0%","0.1%","7.8%","6.8%","77.2%","TN"
"567","Metropolitan Nashville Public",NA,"316,273","83.6%","80.0%","14.4%","18.3%",20.6,"3.6%","11.8%","3.0%","17.7%","11.7%",NA,"165,878","11.7%","33.5%","34.2%","11.7%","5.5%","3.4%",NA,"703,953",NA,"56.4%","25.3%","0.3%","3.6%","0.1%","5.3%","9.0%","10.6%","55.4%","TN"
"568","Putnam County",NA,"33,652","79.7%","75.6%","15.3%","15.6%",33.9,"3.6%","12.7%","3.6%","20.7%","9.3%",NA,"20,203","15.9%","26.1%","26.8%","15.0%","13.6%","2.7%",NA,"81,188",NA,"88.4%","2.4%","0.1%","1.1%","0.0%","3.9%","4.2%","6.9%","87.2%","TN"
"569","Robertson County",NA,"27,233","81.6%","80.7%","9.2%","14.7%",32.7,"4.1%","11.4%","2.5%","20.1%","14.0%",NA,"19,624","13.3%","31.8%","32.3%","10.1%","9.7%","2.7%",NA,"74,098",NA,"82.2%","5.4%","0.1%","0.7%","0.0%","6.1%","5.5%","7.9%","81.1%","TN"
"570","Rutherford County",NA,"64,735","87.4%","85.2%","15.6%","14.9%",24,"4.6%","8.8%","1.5%","21.9%","10.4%",NA,"48,414","8.3%","32.2%","36.3%","9.0%","11.0%","3.1%",NA,"196,458",NA,"68.4%","13.1%","0.3%","3.2%","0.0%","6.3%","8.7%","11.3%","66.8%","TN"
"571","Sevier County",NA,"36,670","75.7%","68.6%","16.1%","16.5%",39.5,"6.8%","13.0%","5.7%","23.5%","14.2%",NA,"24,615","17.7%","35.3%","28.5%","9.0%","7.4%","2.1%",NA,"99,517",NA,"87.4%","0.3%","0.2%","1.4%","0.0%","4.9%","5.8%","7.1%","87.4%","TN"
"572","Sullivan County",NA,"33,625","66.3%","62.7%","13.8%","24.8%",44.6,"9.6%","11.0%","1.8%","32.4%","12.5%",NA,"22,133","22.2%","28.7%","29.5%","7.4%","9.6%","2.6%",NA,"79,714",NA,"93.2%","1.0%","0.2%","0.9%","0.0%","0.5%","4.2%","1.1%","93.0%","TN"
"573","Sumner County",NA,"77,760","81.6%","78.2%","13.1%","17.6%",30.8,"5.1%","9.8%","2.1%","24.3%","11.6%",NA,"54,057","14.3%","32.1%","33.4%","8.6%","10.4%","1.2%",NA,"200,557",NA,"82.2%","8.2%","0.2%","1.5%","0.0%","2.5%","5.4%","5.9%","81.1%","TN"
"574","Washington County",NA,"28,758","76.0%","70.9%","12.2%","17.3%",39.1,"4.5%","7.3%","1.5%","27.2%","10.4%",NA,"18,235","N","N","N","N","N","N",NA,"68,421",NA,"89.5%","0.9%","0.0%","0.9%","0.0%","1.3%","7.4%","4.0%","89.1%","TN"
"575","Williamson County",NA,"73,937","83.7%","80.0%","19.1%","31.6%",25.6,"3.6%","2.1%","0.8%","21.3%","10.8%",NA,"62,610","10.7%","26.8%","45.6%","5.6%","9.4%","1.8%",NA,"213,983",NA,"84.4%","2.2%","0.1%","3.8%","0.1%","1.7%","7.7%","4.7%","83.9%","TN"
"576","Wilson County",NA,"37,737","82.2%","77.9%","12.5%","22.8%",28.3,"2.6%","5.8%","0.9%","26.6%","13.0%",NA,"28,471","N","N","N","N","N","N",NA,"108,679",NA,"80.6%","6.1%","1.2%","2.3%","0.0%","1.0%","8.9%","6.4%","79.5%","TN"
"577","Hays Consolidated Independent",NA,"41,735","86.6%","84.9%","9.2%","11.8%",20.4,"3.8%","8.6%","3.6%","23.2%","12.7%",NA,"29,714","N","N","N","N","N","N",NA,"120,131",NA,"49.6%","2.2%","0.6%","1.6%","0.6%","5.5%","40.0%","50.7%","42.6%","TX"
"578","College Station Independent",NA,"44,810","87.6%","85.5%","10.0%","16.6%",13.5,"1.7%","7.3%","2.4%","14.4%","10.8%",NA,"23,747","N","N","N","N","N","N",NA,"129,969",NA,"69.5%","7.4%","0.6%","8.1%","0.4%","3.4%","10.6%","17.0%","64.4%","TX"
"579","Abilene Independent",NA,"41,825","78.4%","74.1%","8.0%","12.2%",26.3,"5.7%","17.3%","1.5%","16.1%","13.1%",NA,"24,941","16.5%","38.5%","28.3%","8.7%","7.3%","0.7%",NA,"107,384",NA,"62.0%","8.8%","0.2%","2.5%","0.0%","6.1%","20.5%","31.4%","54.7%","TX"
"580","Aldine Independent",NA,"95,378","82.4%","78.7%","11.3%","4.2%",20.9,"5.5%","22.5%","2.8%","12.0%","9.9%",NA,"66,628","12.5%","37.4%","16.1%","17.6%","10.3%","6.0%",NA,"278,735",NA,"16.1%","24.9%","0.6%","2.5%","0.5%","24.2%","31.2%","64.3%","5.5%","TX"
"581","Alief Independent",NA,"101,749","87.0%","84.4%","11.2%","8.4%",17.3,"7.1%","27.9%","7.4%","8.7%","13.1%",NA,"69,485","11.1%","43.3%","17.5%","15.1%","7.8%","5.3%",NA,"275,700",NA,"14.5%","30.2%","0.9%","13.6%","0.1%","21.7%","18.9%","45.4%","9.2%","TX"
"582","Allen Independent",NA,"41,346","89.7%","88.4%","12.7%","24.4%",19.5,"2.1%","3.6%","1.6%","18.3%","10.0%",NA,"31,737","6.3%","39.8%","40.5%","6.0%","6.6%","0.8%",NA,"114,166",NA,"58.3%","7.0%","0.7%","20.5%","0.1%","3.4%","9.9%","10.3%","53.9%","TX"
"583","Alvin Independent",NA,"45,346","85.6%","81.8%","11.8%","12.4%",26,"4.6%","12.1%","5.3%","21.9%","8.5%",NA,"33,708","N","N","N","N","N","N",NA,"128,134",NA,"36.9%","21.9%","1.6%","9.4%","0.0%","8.4%","21.8%","35.2%","30.9%","TX"
"584","Amarillo Independent",NA,"69,776","77.5%","73.6%","11.4%","11.8%",27.1,"6.7%","12.8%","3.3%","16.3%","10.8%",NA,"42,266","15.9%","38.5%","28.0%","8.8%","7.0%","1.7%",NA,"168,753",NA,"61.9%","8.1%","1.1%","3.3%","0.0%","6.5%","19.1%","36.2%","49.5%","TX"
"585","Arlington Independent",NA,"138,567","85.8%","82.3%","10.7%","14.4%",21.5,"3.0%","10.3%","1.6%","18.3%","12.1%",NA,"89,608","10.3%","41.9%","21.7%","12.7%","9.4%","4.0%",NA,"358,201",NA,"37.9%","22.4%","0.7%","6.6%","0.0%","11.2%","21.2%","35.9%","32.6%","TX"
"586","Austin Independent",NA,"349,588","86.4%","82.8%","14.3%","23.4%",15.7,"2.3%","7.7%","3.1%","14.5%","8.8%",NA,"155,461","10.0%","29.5%","43.1%","10.6%","4.0%","2.9%",NA,"729,569",NA,"59.7%","7.6%","0.8%","5.7%","0.0%","9.0%","17.1%","31.8%","50.7%","TX"
"587","Bastrop Independent",NA,"23,607","84.0%","80.4%","13.3%","25.3%",35.6,"2.5%","8.2%","3.9%","31.1%","17.9%",NA,"N","N","N","N","N","N","N",NA,"69,309",NA,"47.9%","2.2%","1.4%","4.5%","0.0%","16.9%","27.0%","49.7%","38.5%","TX"
"588","Beaumont Independent",NA,"47,833","79.8%","77.7%","6.5%","9.8%",28.6,"4.9%","17.5%","2.3%","22.2%","11.1%",NA,"28,220","14.8%","45.5%","20.3%","9.2%","5.7%","4.4%",NA,"128,782",NA,"33.1%","44.7%","0.2%","3.1%","0.0%","5.2%","13.7%","19.6%","28.9%","TX"
"589","Belton Independent",NA,"24,939","73.0%","71.9%","8.8%","17.3%",26.2,"7.0%","5.4%","1.1%","26.1%","16.2%",NA,"17,023","N","N","N","N","N","N",NA,"66,600",NA,"70.6%","4.5%","0.5%","2.1%","0.0%","4.4%","18.0%","22.1%","66.2%","TX"
"590","Birdville Independent",NA,"51,824","83.0%","79.9%","11.4%","16.3%",27.2,"3.3%","12.6%","3.0%","20.0%","12.1%",NA,"34,834","12.6%","36.8%","25.9%","12.2%","9.3%","3.1%",NA,"136,857",NA,"61.7%","5.3%","0.6%","4.6%","0.8%","14.5%","12.5%","30.3%","56.6%","TX"
"591","Brownsville Independent",NA,"57,501","78.6%","75.6%","8.6%","4.9%",31.6,"6.7%","35.7%","3.4%","11.6%","21.7%",NA,"44,917","14.5%","34.3%","18.7%","16.8%","6.3%","9.4%",NA,"193,365",NA,"27.1%","0.2%","0.6%","0.5%","0.0%","11.8%","59.9%","N","N","TX"
"592","Bryan Independent",NA,"40,967","79.3%","76.7%","7.7%","18.1%",26.9,"4.4%","10.4%","2.3%","18.9%","11.6%",NA,"22,891","N","N","N","N","N","N",NA,"106,453",NA,"61.4%","15.6%","0.8%","3.2%","0.0%","6.3%","12.7%","39.0%","40.9%","TX"
"593","Burleson Independent",NA,"24,902","84.0%","79.1%","11.3%","18.1%",24.3,"2.3%","7.2%","2.5%","19.3%","15.9%",NA,"20,575","10.7%","36.8%","36.1%","7.2%","7.5%","1.7%",NA,"74,643",NA,"73.8%","7.8%","0.2%","3.7%","0.0%","4.0%","10.5%","12.5%","70.5%","TX"
"594","Canyon Independent",NA,"25,516","80.8%","77.7%","15.8%","17.0%",25.1,"1.6%","2.3%","0.6%","24.3%","9.6%",NA,"17,891","N","N","N","N","N","N",NA,"67,647",NA,"73.4%","2.1%","0.2%","2.7%","0.2%","5.6%","15.9%","24.7%","67.4%","TX"
"595","Carrollton-Farmers Branch Independent",NA,"81,231","89.9%","87.4%","12.4%","12.8%",16,"2.6%","7.6%","2.1%","12.8%","6.9%",NA,"48,054","7.2%","32.4%","38.4%","14.0%","5.2%","2.9%",NA,"189,499",NA,"40.7%","14.7%","0.4%","21.1%","0.1%","11.0%","12.1%","32.3%","27.9%","TX"
"596","Clear Creek Independent",NA,"97,535","81.6%","80.0%","10.8%","21.4%",25.2,"3.1%","8.0%","1.8%","23.4%","13.4%",NA,"69,474","14.3%","30.8%","31.5%","10.5%","10.4%","2.6%",NA,"257,454",NA,"59.1%","7.8%","0.2%","10.1%","0.0%","9.1%","13.7%","26.0%","52.8%","TX"
"597","Comal Independent",NA,"61,670","80.5%","78.4%","14.9%","23.3%",28.8,"4.0%","5.6%","2.2%","28.5%","17.9%",NA,"46,991","14.1%","29.3%","35.9%","8.5%","9.0%","3.0%",NA,"172,275",NA,"66.3%","5.6%","0.4%","2.2%","0.0%","6.5%","19.0%","24.6%","62.5%","TX"
"598","Conroe Independent",NA,"129,244","81.3%","78.3%","13.8%","21.9%",21.4,"2.9%","9.6%","2.3%","21.3%","12.7%",NA,"91,846","14.9%","33.9%","35.1%","8.1%","5.6%","2.3%",NA,"344,905",NA,"61.8%","8.3%","0.5%","5.8%","0.1%","4.7%","18.8%","24.4%","57.5%","TX"
"599","Corpus Christi Independent",NA,"90,972","77.3%","73.0%","10.7%","10.0%",29.2,"6.1%","21.3%","2.4%","19.2%","11.4%",NA,"59,791","15.7%","40.0%","26.5%","9.7%","5.2%","2.9%",NA,"242,963",NA,"36.6%","2.9%","0.3%","1.7%","0.0%","7.6%","50.9%","70.7%","23.6%","TX"
"600","Crowley Independent",NA,"40,821","84.0%","79.2%","11.8%","14.2%",27.9,"3.0%","10.1%","1.3%","22.9%","11.1%",NA,"26,194","9.6%","33.2%","27.7%","16.7%","6.9%","5.8%",NA,"112,361",NA,"34.7%","36.7%","0.1%","9.0%","0.0%","4.6%","14.9%","20.8%","30.7%","TX"
"601","Cypress-Fairbanks Independent",NA,"214,457","89.8%","87.3%","14.3%","15.5%",19,"3.2%","13.4%","3.8%","16.4%","14.2%",NA,"164,000","6.6%","32.8%","33.3%","10.1%","10.2%","7.0%",NA,"660,377",NA,"37.0%","13.9%","1.4%","10.2%","0.0%","14.2%","23.2%","40.2%","30.6%","TX"
"602","Dallas Independent",NA,"451,018","83.1%","79.4%","11.5%","12.7%",20.7,"4.0%","14.6%","2.9%","12.7%","9.4%",NA,"240,526","12.1%","36.1%","25.7%","13.6%","5.5%","7.1%",NA,"1,096,600",NA,"32.7%","22.6%","1.6%","2.6%","0.0%","16.4%","24.1%","46.9%","25.5%","TX"
"603","Del Valle Independent",NA,"27,205","89.8%","84.1%","18.2%","15.6%",14.3,"3.8%","10.0%","4.1%","16.5%","11.0%",NA,"17,136","N","N","N","N","N","N",NA,"77,849",NA,"36.5%","8.8%","2.8%","3.6%","0.0%","13.7%","34.6%","62.7%","22.2%","TX"
"604","Denton Independent",NA,"86,429","86.6%","84.7%","9.1%","18.3%",19.7,"3.1%","8.5%","3.3%","20.5%","13.8%",NA,"55,891","10.6%","27.6%","40.6%","10.2%","8.8%","2.1%",NA,"228,082",NA,"64.7%","14.0%","0.7%","3.4%","0.1%","4.3%","12.7%","19.6%","60.7%","TX"
"605","Dickinson Independent",NA,"26,908","89.0%","88.0%","5.9%","14.0%",19.7,"3.6%","13.6%","4.7%","20.6%","12.4%",NA,"18,725","N","N","N","N","N","N",NA,"66,255",NA,"49.9%","17.7%","0.0%","6.7%","0.4%","7.0%","18.3%","24.9%","46.0%","TX"
"606","Donna Independent",NA,"20,128","71.4%","65.6%","16.3%","5.9%",31.1,"11.5%","46.2%","1.0%","13.9%","12.3%",NA,"15,505","N","N","N","N","N","N",NA,"69,856",NA,"N","N","N","N","N","N","N","N","N","TX"
"607","Duncanville Independent",NA,"25,807","85.0%","81.8%","11.9%","10.9%",22.3,"4.9%","14.6%","1.5%","22.0%","7.2%",NA,"17,511","N","N","N","N","N","N",NA,"74,443",NA,"24.2%","37.2%","0.2%","4.2%","0.0%","16.9%","17.3%","37.5%","17.8%","TX"
"608","Eagle Mountain-Saginaw Independent",NA,"42,618","87.2%","85.7%","13.5%","11.4%",17,"3.4%","7.1%","2.3%","17.8%","13.2%",NA,"32,013","N","N","N","N","N","N",NA,"119,432",NA,"52.4%","15.6%","0.0%","6.1%","0.1%","11.9%","13.8%","23.2%","51.0%","TX"
"609","Ector County Independent",NA,"64,169","84.2%","81.4%","11.3%","7.7%",20.5,"3.0%","14.0%","3.2%","13.4%","15.6%",NA,"47,004","8.4%","41.9%","28.8%","13.5%","4.4%","3.1%",NA,"161,091",NA,"41.5%","4.7%","0.7%","0.8%","0.0%","25.9%","26.5%","64.7%","28.0%","TX"
"610","Edinburg Consolidated Independent",NA,"55,861","81.5%","71.3%","15.6%","6.3%",23.7,"6.8%","28.2%","1.6%","15.5%","11.8%",NA,"41,879","14.1%","45.3%","16.4%","15.1%","5.6%","3.5%",NA,"170,067",NA,"23.3%","1.0%","0.4%","2.3%","0.1%","4.8%","68.1%","90.4%","5.8%","TX"
"611","El Paso Independent",NA,"117,939","76.0%","72.6%","9.2%","12.9%",28.6,"7.1%","22.6%","3.4%","19.2%","16.4%",NA,"75,903","15.5%","39.8%","21.0%","14.6%","6.4%","2.7%",NA,"311,906",NA,"29.7%","4.6%","0.7%","1.5%","0.0%","16.5%","47.0%","72.6%","17.6%","TX"
"612","Forney Independent",NA,"19,031","92.5%","88.2%","16.8%","6.7%",17.3,"2.3%","10.1%","3.9%","18.3%","12.6%",NA,"16,013","N","N","N","N","N","N",NA,"65,818",NA,"47.4%","25.9%","0.2%","2.9%","0.0%","6.6%","17.1%","20.7%","45.1%","TX"
"613","Fort Bend Independent",NA,"148,459","85.9%","83.2%","14.0%","18.3%",27.2,"3.8%","10.3%","4.2%","20.2%","12.8%",NA,"116,920","9.9%","28.2%","34.9%","11.5%","10.0%","5.4%",NA,"448,389",NA,"24.6%","27.3%","0.4%","28.3%","0.0%","7.2%","12.2%","18.9%","22.4%","TX"
"614","Fort Worth Independent",NA,"192,697","81.6%","78.3%","10.5%","13.1%",24.2,"4.3%","16.8%","2.6%","16.6%","16.3%",NA,"119,283","11.2%","40.0%","25.1%","10.9%","6.2%","6.5%",NA,"543,738",NA,"37.1%","20.7%","1.2%","1.9%","0.1%","20.1%","18.8%","44.5%","31.2%","TX"
"615","Frisco Independent",NA,"99,231","92.2%","91.2%","11.5%","21.5%",11.9,"2.3%","4.9%","2.5%","14.4%","10.1%",NA,"76,391","5.5%","29.4%","44.7%","9.4%","8.5%","2.4%",NA,"291,654",NA,"44.9%","9.7%","0.9%","27.7%","0.0%","5.3%","11.6%","14.1%","42.6%","TX"
"616","Galena Park Independent",NA,"26,851","83.9%","77.1%","14.3%","42.0%",24,"5.2%","23.6%","2.1%","17.7%","17.2%",NA,"20,658","13.4%","41.7%","11.1%","17.6%","9.2%","6.9%",NA,"85,508",NA,"10.8%","17.9%","0.1%","2.3%","0.0%","8.5%","60.5%","73.7%","6.2%","TX"
"617","Garland Independent",NA,"98,595","85.9%","83.6%","12.7%","13.9%",24.9,"3.9%","12.2%","1.7%","18.0%","9.4%",NA,"79,288","10.5%","31.0%","27.1%","16.2%","9.9%","5.3%",NA,"301,155",NA,"36.3%","16.3%","1.0%","9.9%","0.0%","7.3%","29.2%","37.0%","32.2%","TX"
"618","Georgetown Independent",NA,"39,997","73.3%","70.5%","15.6%","29.1%",37.9,"3.5%","6.3%","0.8%","33.4%","15.8%",NA,"28,708","N","N","N","N","N","N",NA,"103,026",NA,"69.2%","3.5%","0.9%","2.3%","0.0%","5.9%","18.2%","28.7%","61.9%","TX"
"619","Goose Creek Consolidated Independent",NA,"37,186","84.0%","80.5%","10.3%","13.6%",27.7,"4.0%","19.3%","1.8%","18.1%","23.7%",NA,"26,365","14.5%","42.1%","23.6%","11.7%","4.5%","3.6%",NA,"105,054",NA,"31.6%","15.0%","0.3%","3.2%","0.2%","20.8%","29.0%","55.7%","24.6%","TX"
"620","Grand Prairie Independent",NA,"39,137","86.5%","84.2%","11.5%","10.8%",24.4,"5.3%","14.0%","5.1%","19.6%","11.1%",NA,"29,416","11.2%","31.4%","24.5%","12.7%","13.1%","7.1%",NA,"123,119",NA,"24.6%","20.6%","1.6%","5.0%","0.0%","22.9%","25.3%","53.8%","18.3%","TX"
"621","Grapevine-Colleyville Independent",NA,"31,798","83.8%","82.8%","11.5%","23.5%",22.6,"2.3%","1.8%","0.7%","20.7%","14.7%",NA,"22,766","N","N","N","N","N","N",NA,"78,825",NA,"65.2%","7.1%","0.1%","13.4%","0.0%","4.1%","10.1%","14.4%","60.2%","TX"
"622","Harlingen Consolidated Independent",NA,"33,930","76.4%","71.8%","13.7%","9.5%",30.1,"6.2%","20.5%","4.6%","19.2%","13.6%",NA,"23,423","16.8%","39.6%","19.2%","18.4%","4.0%","2.0%",NA,"91,170",NA,"49.6%","1.2%","0.1%","1.9%","0.0%","8.1%","39.0%","80.4%","15.3%","TX"
"623","Houston Independent",NA,"611,377","81.9%","77.8%","12.0%","18.7%",20.4,"4.8%","17.5%","3.8%","14.2%","10.2%",NA,"339,028","13.4%","35.7%","27.6%","13.1%","5.7%","4.5%",NA,"1,464,994",NA,"30.4%","22.4%","1.0%","6.7%","0.0%","17.0%","22.6%","42.9%","25.1%","TX"
"624","Humble Independent",NA,"76,424","88.9%","86.9%","11.4%","17.3%",20,"3.7%","8.8%","3.0%","21.6%","15.0%",NA,"56,338","8.1%","32.9%","37.6%","8.3%","8.5%","4.6%",NA,"212,603",NA,"44.6%","20.6%","0.4%","3.5%","0.4%","10.6%","19.9%","31.4%","41.2%","TX"
"625","Huntsville Independent",NA,"21,195","67.1%","65.1%","4.4%","13.3%",30.6,"8.7%","17.6%","4.2%","28.4%","5.8%",NA,"11,372","N","N","N","N","N","N",NA,"70,082",NA,"55.6%","19.9%","0.3%","0.9%","0.0%","7.0%","16.4%","20.3%","52.4%","TX"
"626","Hurst-Euless-Bedford Independent",NA,"66,373","87.8%","83.7%","11.8%","13.9%",19.4,"1.4%","8.6%","2.0%","19.6%","12.4%",NA,"40,665","9.6%","36.8%","33.6%","9.6%","6.5%","3.9%",NA,"164,406",NA,"50.0%","13.8%","0.4%","9.7%","0.7%","5.8%","19.6%","25.2%","46.1%","TX"
"627","Irving Independent",NA,"70,038","89.8%","85.0%","14.8%","8.5%",15.5,"2.9%","9.4%","3.3%","11.6%","10.2%",NA,"43,623","7.9%","34.4%","29.7%","13.1%","10.8%","4.0%",NA,"189,991",NA,"34.4%","10.9%","1.4%","11.0%","0.0%","22.2%","20.1%","57.8%","17.7%","TX"
"628","Judson Independent",NA,"53,184","81.9%","79.1%","9.1%","12.3%",25.2,"6.1%","14.8%","2.0%","26.5%","23.7%",NA,"36,099","12.7%","34.1%","24.9%","13.4%","8.8%","6.0%",NA,"145,077",NA,"31.2%","22.5%","0.5%","4.1%","0.0%","14.5%","27.3%","49.9%","23.6%","TX"
"629","Katy Independent",NA,"132,559","87.4%","84.0%","14.8%","14.2%",17.2,"2.8%","10.2%","5.1%","15.6%","11.8%",NA,"103,850","9.4%","32.4%","36.0%","10.2%","9.7%","2.4%",NA,"396,546",NA,"46.2%","9.7%","0.7%","12.6%","0.2%","12.4%","18.2%","33.4%","40.3%","TX"
"630","Keller Independent",NA,"62,596","88.2%","86.3%","12.6%","18.8%",22.8,"2.0%","5.3%","2.2%","21.4%","10.9%",NA,"46,843","8.9%","28.5%","39.1%","8.9%","12.2%","2.4%",NA,"176,865",NA,"72.7%","7.7%","0.1%","6.9%","0.0%","4.0%","8.6%","12.7%","69.8%","TX"
"631","Killeen Independent",NA,"79,495","86.1%","84.0%","6.6%","7.0%",15.9,"4.4%","16.7%","1.6%","21.3%","24.4%",NA,"55,960","10.1%","43.7%","29.7%","10.8%","4.3%","1.4%",NA,"236,087",NA,"39.7%","34.9%","0.9%","3.3%","0.5%","6.8%","13.9%","28.6%","30.1%","TX"
"632","Klein Independent",NA,"95,013","84.9%","81.3%","12.7%","17.0%",25,"5.4%","13.6%","4.1%","19.4%","15.2%",NA,"73,211","10.5%","33.0%","34.2%","9.4%","10.0%","2.9%",NA,"280,582",NA,"47.3%","14.5%","0.4%","7.3%","0.0%","11.3%","19.2%","32.5%","40.6%","TX"
"633","La Joya Independent",NA,"28,300","80.9%","74.3%","17.0%","4.1%",26.3,"6.1%","37.2%","1.9%","14.4%","15.0%",NA,"26,454","17.9%","36.2%","9.7%","19.0%","10.2%","7.0%",NA,"109,390",NA,"N","N","N","N","N","N","N","N","N","TX"
"634","Lamar Consolidated Independent",NA,"75,012","83.3%","80.6%","17.4%","16.7%",22,"3.7%","11.7%","2.2%","17.7%","10.1%",NA,"62,739","12.8%","36.1%","30.8%","8.7%","9.6%","2.2%",NA,"220,437",NA,"36.8%","20.2%","0.1%","10.4%","0.0%","15.0%","17.6%","37.8%","29.4%","TX"
"635","Laredo Independent",NA,"24,978","76.7%","72.7%","9.5%","6.1%",25.9,"15.1%","32.4%","2.6%","11.4%","9.0%",NA,"18,067","15.7%","37.2%","10.5%","19.7%","6.7%","10.2%",NA,"80,274",NA,"14.1%","0.2%","0.1%","0.0%","0.0%","14.1%","71.5%","N","N","TX"
"636","Leander Independent",NA,"83,368","87.2%","84.3%","14.6%","26.7%",18.2,"2.7%","6.9%","2.5%","21.4%","11.5%",NA,"58,979","10.0%","30.0%","40.9%","6.3%","9.8%","2.9%",NA,"224,881",NA,"59.1%","5.8%","0.7%","12.3%","0.1%","5.4%","16.6%","21.4%","54.4%","TX"
